0 0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

2000	9.71	9.49	13.73	8.20	6.74	7.77	4.32	5.03	4.14	3.88	2.64	4.09	0.57	1.65	1.18	1.28	3.01	0.62	3.32	3.42	3.33	4.94	1.68	2.48	2.38	2.12	4.95	1.83	2.53	4.46	7.33	4.80	14.69	34.18	30.76	7.72	9.61	3.94	1.62	8.26	24.32	18.29	6.54	1.77	0.73	2.95	2.42	1.56	0.56	0.69	0.47	0.30	0.70	0.57	0.38	0.19	0.18	0.33	0.75	0.04	0.34	0.39	0.35	0.21	0.28	0.22	0.39	0.06	0.03	0.30	0.11	0.07	0.02	0.12	0.04	0.40	0.22	0.20	0.30	0.10	0.21	0.05	0.07	0.13	0.03	0.18	0.09	0.09

2067	5.07	5.43	4.94	4.44	5.69	3.19	5.70	3.25	2.79	2.44	4.86	5.25	2.38	2.44	2.04	1.97	2.95	1.47	2.48	1.34	1.72	1.53	0.72	0.58	2.34	0.78	1.75	0.64	2.17	1.92	3.53	2.53	0.78	9.26	13.07	2.77	2.94	2.93	1.88	2.54	4.00	1.31	1.12	0.15	0.76	0.52	1.43	0.76	0.18	0.14	0.52	0.42	0.25	0.02	0.14	0.06	0.21	0.03	0.05	0.15	0.03	0.07	0.07	0.16	0.16	0.02	0.15	0.12	0.10	0.08	0.09	0.07	0.02	0.20	0.17	0.22	0.02	0.02	0.01	0.04	0.10	0.05	0.01	0.14	0.04	0.08	0.04	0.12

2133	5.30	5.75	3.51	4.54	7.12	3.43	7.88	3.80	2.30	2.63	6.33	5.07	3.38	2.99	5.27	2.24	3.68	3.85	2.58	3.83	2.52	0.77	1.77	1.34	1.56	3.37	4.39	4.16	4.89	1.39	3.63	9.00	11.48	14.78	13.26	7.02	2.88	6.38	2.67	12.95	21.65	14.42	5.02	2.56	0.83	1.73	4.32	1.69	0.51	0.84	0.89	0.51	0.48	0.11	0.66	0.25	0.25	0.54	0.32	0.42	0.70	0.41	0.11	0.18	0.35	0.26	0.08	0.29	0.22	0.14	0.23	0.20	0.24	0.33	0.18	0.49	0.16	0.10	0.14	0.21	0.08	0.11	0.08	0.31	0.14	0.15	0.05	0.14

2200	4.21	4.88	6.89	3.62	9.73	1.23	9.29	4.36	0.26	0.96	3.70	4.47	4.00	3.56	3.92	1.20	4.38	4.38	3.55	4.22	0.76	2.89	4.47	4.18	4.75	0.92	7.06	1.57	3.08	11.08	6.26	14.72	30.83	44.18	21.30	7.97	5.99	5.21	10.41	19.37	62.39	17.42	6.29	2.97	4.13	2.60	4.23	2.92	1.01	1.24	0.26	0.20	0.39	0.43	0.99	0.23	0.21	0.41	0.39	0.59	0.72	0.32	0.14	0.24	0.17	0.29	0.04	0.06	0.32	0.01	0.21	0.04	0.16	0.02	0.04	0.88	0.19	0.20	0.14	0.22	0.03	0.02	0.08	0.46	0.05	0.19	0.05	0.07

2267	3.40	3.75	8.98	4.03	8.99	1.16	6.14	3.29	1.23	0.89	2.03	2.88	2.80	2.82	2.55	1.94	3.57	2.01	3.35	1.54	3.62	5.12	5.34	3.35	2.72	2.20	2.83	3.66	5.70	12.43	2.97	17.74	39.81	24.96	8.73	4.88	9.23	7.36	12.44	26.84	27.80	2.07	0.99	1.92	3.77	3.15	2.76	1.72	0.93	0.64	0.77	0.91	0.27	0.97	0.18	0.69	0.25	0.40	0.17	0.08	0.22	0.34	0.51	0.36	0.08	0.33	0.18	0.35	0.03	0.18	0.13	0.07	0.18	0.14	0.19	0.34	0.10	0.12	0.12	0.28	0.12	0.11	0.10	0.35	0.22	0.02	0.10	0.17

